name,year,rating,actors
Gran Torino,2008,8.1,"Clint Eastwood (dir.), Clint Eastwood, Bee Vang"
Gone with the Wind,1939,8.1,"Victor Fleming (dir.), Clark Gable, Vivien Leigh"
Sunrise,1927,8.1,"F.W. Murnau (dir.), George O'Brien, Janet Gaynor"
The Deer Hunter,1978,8.1,"Michael Cimino (dir.), Robert De Niro, Christopher Walken"
The Sixth Sense,1999,8.1,"M. Night Shyamalan (dir.), Bruce Willis, Haley Joel Osment"
Fargo,1996,8.1,"Joel Coen (dir.), William H. Macy, Frances McDormand"
Andrei Rublev,1966,8.1,"Andrei Tarkovsky (dir.), Anatoliy Solonitsyn, Ivan Lapikov"
The Thing,1982,8.1,"John Carpenter (dir.), Kurt Russell, Wilford Brimley"
No Country for Old Men,2007,8.1,"Ethan Coen (dir.), Tommy Lee Jones, Javier Bardem"
The Big Lebowski,1998,8.1,"Joel Coen (dir.), Jeff Bridges, John Goodman"
Finding Nemo,2003,8.1,"Andrew Stanton (dir.), Albert Brooks, Ellen DeGeneres"
The Bandit,1996,8.1,"Yavuz Turgul (dir.), Sener Sen, Ugur Yücel"
Tokyo Story,1953,8.1,"Yasujirô Ozu (dir.), Chishû Ryû, Chieko Higashiyama"
There Will Be Blood,2007,8.1,"Paul Thomas Anderson (dir.), Daniel Day-Lewis, Paul Dano"
Cool Hand Luke,1967,8.1,"Stuart Rosenberg (dir.), Paul Newman, George Kennedy"
Come and See,1985,8.1,"Elem Klimov (dir.), Aleksey Kravchenko, Olga Mironova"
Rebecca,1940,8.1,"Alfred Hitchcock (dir.), Laurence Olivier, Joan Fontaine"
Hacksaw Ridge,2016,8.1,"Mel Gibson (dir.), Andrew Garfield, Sam Worthington"
Kill Bill: Vol. 1,2003,8.1,"Quentin Tarantino (dir.), Uma Thurman, David Carradine"
How to Train Your Dragon,2010,8.1,"Dean DeBlois (dir.), Jay Baruchel, Gerard Butler"
Rang De Basanti,2006,8.1,"Rakeysh Omprakash Mehra (dir.), Aamir Khan, Soha Ali Khan"
The Passion of Joan of Arc,1928,8.1,"Carl Theodor Dreyer (dir.), Maria Falconetti, Eugene Silvain"
Gone Girl,2014,8.1,"David Fincher (dir.), Ben Affleck, Rosamund Pike"
Mary and Max,2009,8.1,"Adam Elliot (dir.), Toni Collette, Philip Seymour Hoffman"
La La Land,2016,8.1,"Damien Chazelle (dir.), Ryan Gosling, Emma Stone"
Shutter Island,2010,8.1,"Martin Scorsese (dir.), Leonardo DiCaprio, Emily Mortimer"
Into the Wild,2007,8.1,"Sean Penn (dir.), Emile Hirsch, Vince Vaughn"
Life of Brian,1979,8.1,"Terry Jones (dir.), Graham Chapman, John Cleese"
It Happened One Night,1934,8.1,"Frank Capra (dir.), Clark Gable, Claudette Colbert"
Logan,2017,8.1,"James Mangold (dir.), Hugh Jackman, Patrick Stewart"
Relatos salvajes,2014,8.1,"Damián Szifron (dir.), Darío Grandinetti, María Marull"
Platoon,1986,8.1,"Oliver Stone (dir.), Charlie Sheen, Tom Berenger"
The Wages of Fear,1953,8.1,"Henri-Georges Clouzot (dir.), Yves Montand, Charles Vanel"
Hotel Rwanda,2004,8.1,"Terry George (dir.), Don Cheadle, Sophie Okonedo"
Network,1976,8.1,"Sidney Lumet (dir.), Faye Dunaway, William Holden"
